NuSTAR OBSID, Gal. Lon. [deg], Gal. Lat [deg], Avg. Exposure [s], Target
60061091012,239.77,28.04,12004.4,MCG_01_24_012
60061092002,206.04,43.10,18559.2,RBS0770
60061097002,157.79,48.36,21265.5,NGC3079
60061098002,273.97,10.82,20745.4,SWIFTJ1009d3m4250
60061201002,273.03,19.80,21904.3,NGC3281
60061204002,136.92,43.06,23859.6,MCGp12_10_067
60061205002,270.70,29.88,15376.6,NGC3393
60061206002,214.67,62.13,20404.7,Mrk417
60061208002,245.57,61.04,26073.4,Mrk732
60061214002,128.75,42.02,22485.1,2MASXJ11462959p7421289
60061215002,275.07,55.22,36511.7,RBS1037
60061216002,276.98,54.65,26260.4,MCG_01_30_041
60061217002,154.17,71.25,12808.5,IC751
60061217004,154.22,71.19,51374.3,IC751
60061217006,154.33,71.21,24760.9,IC751
60061229002,269.32,81.72,18710.9,RBS1125
60061232002,298.66,46.60,21065.1,IGRJ12391m1612
60061236002,308.86,57.19,19136.7,NGC4941
60061239002,318.85,73.97,22991.2,NGC4992
60061241002,109.09,72.06,12330.2,Mrk248
60061241006,108.85,72.06,22734.0,Mrk248
60061243002,312.74,28.06,17054.6,ESO383_18
60061244002,315.55,38.36,20548.9,ESO509_66
60061245002,331.24,64.83,18650.1,NGC5252
60061249002,5.92,72.72,22617.9,Mrk463
60061255002,93.09,56.84,17785.9,Mrk477
60061256002,337.38,38.08,24072.6,NGC5728
60061260002,326.08,13.98,7489.2,IC4518A
60061261002,3.12,50.22,21034.4,2MASXJ15064412p0351444
60061265002,356.24,36.89,20961.1,1E1530m085
60061266002,91.45,47.94,24375.5,Mrk290
60061266004,91.42,47.94,26059.6,Mrk290
60061267002,354.91,30.73,20891.4,NGC5995
60061270002,114.60,32.38,28739.1,MCGp14_08_004
60061273002,22.63,28.84,20557.4,2MASXJ16504275p0436180
60061276002,51.06,35.62,20337.7,MCGp05_40_026
60061277002,328.53,-14.05,17426.3,NGC6300
60061278002,44.29,25.57,23123.7,MCGp03_45_003
60061283002,70.14,24.19,11439.4,MCGp07_37_031
60061283004,70.14,24.20,6788.1,MCGp07_37_031
60061284002,338.41,-18.76,19237.3,IGRJ18244m5622
60061288002,329.83,-23.18,27038.8,H1834m653
60061290002,315.87,-26.80,17687.7,2E1849d2m7832
60061291002,357.96,-19.80,18598.1,1RXSJ190749d9m392341
60061293002,42.29,-12.31,19542.5,3C403
60061302002,339.99,-38.77,18153.7,IC5063
60061303002,115.99,22.37,18035.3,S52116p81
60061306002,20.69,-46.59,19520.5,1RXSJ213445d2m272551
60061311002,93.00,-18.00,21084.5,MCGp06_49_019
60061313002,93.26,-20.99,14447.0,NGC7319_Stephan
60061318004,348.00,-65.69,14280.2,NGC7582
60061322002,162.23,81.51,18771.5,NGC4395
60061324002,224.48,66.79,22701.4,NGC3588
60061325002,212.89,-58.83,24538.4,NGC1229
60061327002,39.22,64.66,23879.4,CGCG_164m019
60061328002,102.61,35.97,17826.0,NGC6232
60061329002,228.60,42.26,16908.0,3C227
60061329004,228.59,42.25,11664.9,3C227
60061330002,313.98,-55.10,22393.6,PKS2356m61
60061331002,259.62,-48.99,22876.1,2MASXJ03502377m5018354
60061332002,255.57,66.58,19725.6,NGC3822
60061335002,194.40,81.47,20120.1,WAS49b
60061337002,355.78,57.37,20387.7,NGC5674
60061338002,239.34,59.50,23035.5,Mrk728
60061339002,259.52,13.12,21065.8,2MASXJ09235371m3141305
60061340002,225.36,-67.09,20264.5,ESO416_G002
60061341002,244.84,-49.75,21585.0,MRSS302m039347
60061343002,76.16,-42.61,21093.9,MCGp01m57m016
60061344002,298.50,-69.21,22608.4,ESO195_IG021_NED03
60061345002,295.57,15.63,19585.5,CSRG0644
60061346002,173.95,-64.94,18387.5,ARP318
60061347002,9.92,-50.37,20929.7,NGC7130
60061348002,69.41,57.22,23586.0,NGC5899
60061350002,74.41,76.25,20834.2,NGC5273
60061352002,190.86,23.57,23020.8,UGC03995A
60061353002,186.32,44.68,32626.0,IC2461
60061354002,60.81,19.19,15140.3,LEDA3097193
60061354004,60.81,19.19,8582.6,LEDA3097193
60061355002,90.40,12.78,21115.0,2MASXJ20063331p5620364
60061358002,80.20,-11.25,20967.2,2MASXJ21192912p3332566
60061359002,182.17,61.36,23820.8,MCGp06m24m008
60061362002,321.44,15.03,21885.1,NGC5643
60061362004,321.42,15.01,19146.8,NGC5643
60101001002,83.12,-45.45,21268.3,NGC7469
60101001004,83.08,-45.49,19689.7,NGC7469
60101001006,83.06,-45.48,20910.4,NGC7469
60101001008,83.06,-45.48,22407.2,NGC7469
60101001010,83.06,-45.49,18106.0,NGC7469
60101001012,83.06,-45.49,20334.8,NGC7469
60101001014,83.07,-45.49,22934.2,NGC7469
60101002002,146.11,-27.14,60600.4,Mrk1040
60101003002,32.57,-13.07,62875.3,IGRJ19378m0617
60101004002,47.43,-44.81,52547.9,PHL1811
60101011002,236.20,42.92,22696.8,IC0588
60101013002,17.67,-39.77,21832.3,ESO464_G016
60101014002,251.94,-33.69,21080.5,ESO253_3
60101015002,207.38,-37.48,18729.4,MCG_02_12_017
60101020002,313.58,45.51,77740.6,IRAS13197m1627
60101022002,190.83,82.25,19740.7,Mrk766
60101030002,58.02,-42.92,102352.5,QSO_B2202m209
60101032002,136.25,39.44,47249.0,NGC_3147
60101034002,186.30,82.76,48249.7,1ES_1218p304
60101035002,191.84,-33.15,34038.1,1ES_0414p009
60101036002,201.91,-45.68,29762.0,1ES_0347m121
60101037002,157.41,25.44,3631.3,RGB_J0710p591
60101037004,157.40,25.46,25334.8,RGB_J0710p591
60101039002,266.96,-42.02,168477.4,1H_0419m577
60101040002,72.52,21.13,146085.4,W1835p4355
60101046002,138.24,68.85,52350.9,NGC_4258
60101046004,138.24,68.83,98453.5,NGC_4258
60101047002,251.61,-34.61,107928.6,Pictor_A
60101048002,183.65,-47.47,49759.9,NGC_1266
60101053002,284.25,-15.35,41306.3,ESO060mIG16
60101054002,358.62,-40.83,44712.0,ESO286mIG19
60101056002,10.93,-26.76,52122.0,1RXS_J195815d6m301119
60101057002,351.21,-27.03,20614.1,PMN_J1936m4719
60101058002,263.54,-31.45,37226.0,1RXS_J054357d3m553206
60101059002,247.78,12.23,28963.1,PMN_J0847m2337
60101060002,186.26,-81.68,18604.5,BZB_J0123m2310
60101061002,90.54,-41.89,21415.0,RGB_J2313p147
60101062002,167.79,66.19,19749.0,RBS_0970
60101064002,283.93,56.29,24374.5,IRAS_12071m0444
60101065002,289.90,47.45,25828.7,IRAS_12127m1412
60101068002,88.85,-72.23,20949.4,NGC_34
60101069002,96.71,-71.60,20147.2,Arp_256
60101070002,123.13,10.24,27510.5,MCGp12m02m001
60101071002,169.78,46.99,19495.1,MCGp08m18m013
60101072002,246.39,37.43,19020.1,NGC_3110
60101073002,291.97,29.98,27538.1,ESO440mIG058
60101075002,88.07,37.46,17216.0,NGC_6286
